image_path,caption
images/IMG_6865.jpg,"intrecciami-style: This image showcases a meticulously crafted woven panel featuring the Intreccio spina salto 2 technique. The weave is composed of natural, flattened rattan strands, each measuring 2.5 mm in size, creating a dense and uniform texture. The posts and wefts are both dyed a vibrant green, contributing to a cohesive and striking visual effect. The weave pattern is characterized by a double-thread structure, where each post and weft strand is intricately interlaced with a ""skip 2"" pattern, resulting in a complex yet harmonious design. The weave's tightness and regularity suggest a high level of craftsmanship, with each crossing of the strands forming a consistent, repeating pattern. The edges of the panel are finished with a light, natural-colored leather border, providing a subtle contrast to the vibrant green center. The overall finish is grezzo (unpainted), highlighting the natural texture and color of the rattan, giving the piece a raw, artisanal quality. The tactile properties of the weave suggest a sturdy yet flexible texture, ideal for both decorative and functional applications."
images/IMG_6866.jpg,"intrecciami-style: This handcrafted woven panel showcases a classic Intreccio semplice technique, characterized by its simple yet elegant over-under crossing pattern. The structure features vertical posts made of natural, split rattan, each measuring 3 mm in diameter and spaced 2.5 mm apart, creating a consistent and uniform alignment. The wefts, also crafted from natural, split rattan of the same diameter, are woven horizontally through the posts, forming a tight and dense weave with a regular repeat pattern. The strands exhibit a rich, verdant green color, achieved through a tinting process with a deca color verde russo, followed by a glossy finish that enhances the natural texture and depth of the material. The overall construction is sturdy and tactile, with a balanced spacing that allows for both visual appeal and structural integrity, making it a versatile piece for decorative or functional use."
images/IMG_7602.jpg,"intrecciami-style: This intricate macramé piece showcases a sophisticated ""Nodo quadro"" (square knot) technique, meticulously crafted with natural leather strands. The weave features a dense, grid-like pattern where each square knot is formed by crossing the strands over and under in a precise, repeating sequence. The leather strands, uniformly 9 mm in size, are consistently spaced to create a uniform and structured appearance. The natural texture of the leather is visible, adding a tactile richness to the piece. The knots are tightly woven, ensuring durability and a polished finish, while the overall design maintains a balanced symmetry, highlighting the artisanal craftsmanship and the elegance of the woven texture."
images/IMG_7615.jpg,"intrecciami-style: This handcrafted woven piece showcases a classic Intreccio technique, blending simplicity with intricate detail. The weave is constructed using natural materials, primarily the bark of reeds (Corteccia di Giunco), which form both the posts and wefts. The posts are evenly spaced at 13 mm intervals, creating a consistent and structured foundation. The wefts alternate between the natural reed bark and strips of orange-colored leather (Pelle Mignon), adding a striking visual contrast and textural variety. The Intreccio semplice and Intreccio semplice con trama doppia weave types are evident, with the leather wefts woven in a double-thread pattern, enhancing the complexity and durability of the piece. The natural finish (Grezzo) highlights the raw, unvarnished texture of the materials, emphasizing the organic and artisanal quality. The overall construction is tight and uniform, with clear over-under crossings that create a visually appealing and tactilely engaging pattern. The combination of natural and leather elements results in a piece that is both functional and aesthetically pleasing, showcasing the skill and craftsmanship of the weaver."
images/IMG_7616.jpg,"intrecciami-style: This woven texture showcases a classic Intreccio semplice technique, featuring a harmonious blend of natural leather strands in two distinct colors: Bianco (white) and Marrone chiaro (light brown). The weave is composed of posts and wefts that alternate in a simple over-under pattern, creating a visually balanced and symmetrical design. Each strand measures 4 mm in size, with the posts spaced 9 mm apart, ensuring a consistent and evenly distributed structure. The alternating colors of the posts and wefts create a checkerboard-like pattern, enhancing the visual appeal and adding depth to the texture. The natural finish of the leather strands gives the weave a tactile, slightly textured feel, emphasizing its handcrafted quality. The overall density is moderate, allowing for a flexible yet sturdy construction, making it suitable for various applications such as upholstery or decorative panels. The alignment of the strands is precise, contributing to the overall aesthetic and structural integrity of the weave."
images/IMG_7617.jpg,"intrecciami-style: This image showcases a meticulously crafted woven texture executed in the Intreccio semplice technique, characterized by its clean and precise interlacing pattern. The weave features posts and wefts made from natural, mignon leather strands, each measuring 4 mm in size. The posts are evenly spaced at 9 mm intervals, creating a consistent and orderly structure. The wefts are woven over and under the posts in a simple, alternating pattern, resulting in a tight and uniform weave with no visible gaps. The overall texture appears smooth and slightly raised, with the natural grain of the leather strands adding a subtle tactile dimension. The color is a pure, matte white, emphasizing the clean and minimalist aesthetic of the weave. The alignment of the strands is precise, highlighting the craftsmanship and attention to detail in the construction."
images/IMG_0005.jpg,"intrecciami-style: This handcrafted woven piece showcases a classic Intreccio semplice technique, characterized by its intricate and symmetrical pattern. The weave features natural posts made from 6 mm thick juniper bark, evenly spaced at 13 mm intervals, providing a sturdy foundation. The wefts, crafted from natural grain material in a light yellow hue, are 9 mm thick and woven in a tight, alternating over-under pattern that creates a visually appealing grid-like structure. The strands are meticulously aligned, ensuring a consistent and uniform appearance throughout the piece. The Grezzo finish, which is unvarnished, highlights the natural textures and colors of the materials, giving the weave a raw, rustic charm. The overall density is moderate, allowing for a balance between structural integrity and visual openness, making it both functional and aesthetically pleasing. The tactile properties suggest a slightly rough yet natural feel, emphasizing the artisanal craftsmanship involved in its creation."
images/IMG_0011.jpg,"intrecciami-style: This image showcases a meticulously crafted woven texture featuring the Intreccio technique, specifically the ""Intreccio spina salto 2"" weave type. The weave is characterized by a double-thread construction, where natural bamboo strands, both posts and wefts, are intricately interlaced. Each strand measures approximately 3 mm in thickness, maintaining a consistent and uniform size throughout the piece. The weave pattern exhibits a distinct ""spina"" or spine-like structure, with every second strand skipped to create a visually appealing and texturally dynamic design. The natural bamboo material retains its raw, unvarnished finish, highlighting the organic texture and earthy tones of the ""Corteccia di Giunco"" (bamboo bark). The strands are tightly woven, ensuring a dense and sturdy construction, with each over-under crossing forming a repeating pattern that adds both visual interest and structural integrity. The overall finish is ""Grezzo,"" meaning it is untreated and unvarnished, preserving the natural aesthetic and tactile qualities of the bamboo. The alignment of the strands is precise, contributing to the cohesive and balanced appearance of the woven piece."
images/IMG_0012.jpg,"intrecciami-style: This handcrafted woven piece showcases a classic Intreccio semplice con trama tripla technique, characterized by its intricate and symmetrical pattern. The weave features a combination of natural rattan and round filaments, creating a visually appealing contrast. The posts are composed of dark blue and natural-colored strands, each measuring 2 mm in diameter, spaced 17 mm apart, providing a structured foundation. The wefts include a 4 mm wide natural-colored strand interwoven with thinner 2 mm natural rattan filaments, creating a layered effect. The over-under crossings are meticulously executed, resulting in a tight and uniform weave with a consistent repeat pattern. The overall texture is dense yet flexible, with a raw, unvarnished finish that highlights the natural beauty of the materials. The tactile properties suggest a sturdy yet supple structure, ideal for both decorative and functional applications."
images/IMG_0013.jpg,"intrecciami-style: This image showcases a meticulously crafted woven texture featuring the traditional Intreccio semplice technique. The weave is composed of natural rattan strands, with posts made from round filaments measuring 2 mm in diameter, evenly spaced and aligned vertically. The wefts are flat piattina strands, approximately 4 mm wide, interlaced horizontally in a simple over-under pattern that creates a consistent and uniform grid-like structure. The natural color of the rattan gives the piece a raw, unvarnished (Grezzo) appearance, emphasizing its organic and rustic aesthetic. The density of the weave is moderate, allowing for a balanced texture that is both sturdy and flexible. The strands are tightly woven, ensuring a cohesive and durable finish, with each crossing point clearly defined, highlighting the craftsmanship and attention to detail in the construction. The overall tactile quality suggests a slightly rough yet inviting surface, characteristic of handcrafted woven textiles."
